userId,role,response
a3f72740a19b7e83a23af3af5ce24d9f,user,0
e77a0d8fa73f9e1546909b5fc7ed5f41,user,0
97b9258002aa18be1987facf40a98516,user,0
847b5b127d112be93cab6edcdf378b24,user,0
58d7160e0c386dc82e2441b92048aed3,user,0
a432b2a748089f790eca6b9ef2331ebb,user,0
3632c59810222cfe65ec5ba7a74a993d,user,0
dbad35e8064dbbdd636028120e6fc566,user,0
3803241ae72bab85ea5ab56cd051fc0d,user,0
9480c281702953b1bf7c67b1f9848c14,user,0
f7bafa7307bcf81fd214c788214248ca,user,0
d62705d20dcf4b9432482bd2dbf59aec,user,0
4ffc6e7f9b1d6ff123601f3df07d1642,user,0
044f9469a515b3695834c2e3faf2e858,user,0
bfc14cc8f089dbcd961626fc875d7324,user,0
5e5faef8de00749bca8cd4999d227d99,user,0
c9013047139033cae0da16d81935c9d6,user,0
fcaaf9807a9589d798da67fdbe67b880,supplier,0.5454428344090818
833b202d942445e6025ff20dc0134cc0,user,0
c3a8d8bd168af103db0d667b979fe395,user,0
87e24d7e7d460538b9634069efeb5086,user,0
9873b633683624be6a3e6e149607f656,user,0
b735dfd0c303ef6292da2ab41b5d292d,user,0
afa4345fde7db19a9b4f44774fee08d9,user,0
a795252098cf1833ac925ea55d113c7c,user,0
122f080be6928ef6d06c48df3770e3b4,user,0
6133878d6b2d7fb358c9f31a9a7e6832,user,0
d211b325e60462e5cf140a2574a446a7,user,0
9e1f8ab24acc09f22f33451aec9ba7d6,user,0
cf79e348b1436530c55ce0b0f62e08b7,user,0
a3122d25b329306cede0d154b4a86217,user,0
12c256272b444dde279226f687ade5e9,user,0
67862967a9f6152c89396b8258b0e4d2,user,0
e9e9f1ed0906100e985522f904f0533a,user,0
ea78ed213565ba61e5271c5aae8a9f28,user,0
4c0c52833364485fd5604d72e2dc3a8a,user,0
0a4be7372c08c9c7eec3f22ecedcd97a,user,0
0a151b167516d56d09b7e76fb4c9cf20,user,0
1771b974b0e75f51c229192946ec6034,user,0
defca54e80a0492a8a5d034fa309340e,user,0
f5205b89191e0fe5e76c00fc32236192,user,0
d97e56f278ffe4112939f9408e4cd1bb,user,0
09d823f66c033e2e52ec9606ec481852,user,0
588a7a06b407d8e3735b4640bc6c773f,user,0
1d547b30235d8bd939ac4bc4fe697a08,user,0
56add64bc0a89449698d6063e59051a4,user,0
17c49a6d654831e2e418e8591d7f9c54,user,0
d6c6644c12d44b2926c7261160104f30,user,0
77f52c3b9bb2db3c95dfa3d780a42396,user,0
c4f0ea673370f0c47d0b88af22c324e6,user,0
2920e4aab9ce12137aa3e76db4ac7502,user,0
9fc224f6c3f8c6877f5b62952f6ae3de,user,0
af2be967351f9966a599d7bc551bf9a5,user,0
211621223bf083e55dd3928e7f953514,user,0
769fd72ab03a74ad15caaff4aa76f396,user,0
e797117c653c63e0d224968cf5fd8bc8,user,0
7f87c7fe3f308c12ace273c45020da26,user,0
9efb9ef2969380210b76ceb6bef20756,user,0
c4687a32dcf328b431e4b820638c8c31,user,0
31bda51534ece6e342a80a5edf82c45e,user,0
dda347fb5c7003acd65e3fe9c6cf62ec,user,0
23ef879068f0490ff4e06a482133c0f9,user,0
dd53b19082fcf8c26f190d9a8b01581e,user,0
825542c39373ae1870324eb7636f8889,user,0
78a10a6d914c0f6b58926d3f0068a667,user,0
540ca224d4aa0e9aeba83b49a8d372e1,user,0
655ef8ab404a8ced5996f3bce8bc3517,user,0
103d37eaef2cd8c36b5f85f03062d114,user,0
933fb57b1b82f11acb26e63f5a1884f5,user,0
a7c001dce0accff59a320e28e2884878,user,0
2683e781b301756bb39c652412bf3410,supplier,0.2481164703640989
d47bb193858aff77a362779dd3e01eae,user,0
5bf3c064a14585cfd363d0e7d3631a30,user,0
85deab30e7719fbe3721423e6c833141,user,0
1a89ae2b11c1c067e50a674cf4f0d467,user,0
f97ef625330cffb5178c899c04d2654c,user,0
e762079892b9a932ef8fe0259aa01cc2,supplier,0.9577239930358963
8e8a9d69a76818e2cd47f37837ebd514,user,0
7364113274b2acdecac82e337e26d682,user,0
