itemId,itemType,itemPrice,itemRating,itemOwner
67d90876a6303e65d3fb90d4cabfc78e,flower,47,3.5,ea0c52b4193e34720bbef11441aceb4f
10bbf931c40f8ba4786ed20e037295e1,plant,44,3.5,80685b6d4f6e3b01b3565f97e04d73db
244997b6054c00cdfa1710857cf7fe1d,material,205,2,2a11f213a728daf1ba23f9773dfa77c3
298b67e0e952f6628d4ab7e16c65b916,material,211,4.6,1804f6e25ac9aa953fcbce091288b937
12be7909059de769c4bc6237f1c863a4,cactus,355,2.2,80685b6d4f6e3b01b3565f97e04d73db
b3025186323306debd51697b4e013a5e,flower,63,4.6,6aad89f2750dc5d8b752171ba778d469
c8f7b438071ed1f8e31d3fb986cb69b5,plant,24,1.2,db44853d8d9222aea2a328338d11c907
072f4d3160227d89847a0257f2ca1074,seed,92,3.7,71ce48adb8c70367134e967cbb763cd2
2f2d2d1af29275336541daf3983cff62,plant,192,1.5,a334463bf0bae0002891746a97315734
9225f103ab28151e3568870d75e52a6d,cactus,91,2.3,0485407bde76b3add11279fff4293b56
847dd26ceaa6cd72cccd3b6f54bc3eaa,equirement,137,2.5,05480571f4d63e1d79a0b97fdff41af5
4510fee3e066f374a27fb63b25f4ec33,equirement,150,4.2,4de566a1b9bed1ee379c5b543f7a0bf5
96c7451ad3dfe038717b4f993af567dc,flower,44,3.7,c0e3beafcdc4027575b42168a240f3af
bb78c52a23a7a68de83165b8984a11cb,material,1942,4.3,bf4582a5e4c3f8c1793818f640a32a80
15031d88b350b27f1ed8e5fe362c7b62,equirement,136,3.8,e3a5812d0abc7edc1deb63cd95a181f0
5dbefcbeb896e409c9fa5b81e9120e1c,plant,1176,5,71ce48adb8c70367134e967cbb763cd2
4a551d1e722bd8ca3f5e56edebcdded6,plant,477,4.7,0d8ce8dc3d9d4582eebd64bc26cba9fe
1cf20c11a6679a4062b773a5b79b278f,seed,470,3.1,707a6b45eb1591ee9f6cd38bbff1b0f6
46dda248a56ac8577e1d6c95d6948170,plant,250,4.7,6aad89f2750dc5d8b752171ba778d469
add445353962a7583ac9c949db8d519d,equirement,276,2.8,a334463bf0bae0002891746a97315734
f8928a8bb77f1774b25eff3073dde5c1,plant,334,3.2,e8ce9b880d0b40f430529cf9fc46e1dc
f5532456b25ff6a36cdcb75a54df9797,plant,340,2.9,585d6dffba11e28292a90bfbc6477682
04efed62cf6ae31531907990cae9e238,material,28,4.5,4e5698cd99a94bc9cfe2b52a815b555f
18d3aed90bdbf41df27ec22724d32ed7,plant,185,1.4,2a11f213a728daf1ba23f9773dfa77c3
366821074e6aae843066ae571f721079,material,216,4.8,290aa50af9a3316a268003e3139424d0
82844bb48409f537d8c114ce59868316,seed,551,4,585d6dffba11e28292a90bfbc6477682
b603d5c62a007f3543365156dc157c60,plant,774,1.2,8457acbc900e0186c3584e85a1e4ef78
1f2bf3ea8e3c43d0aa60717b34eae527,plant,1501,4.7,c29305d849cacf796c05bc93353c2063
1643e4000eb8e77229d11ac3f57f0567,flower,214,4.4,e2f195be8e2e162cc1c93d90a611362d
403990cfc024ed2c0f673639d4e38b28,material,99,4.4,bf4582a5e4c3f8c1793818f640a32a80
a42aef7d819c8eeffe976a942859e78d,cactus,1725,3.6,8a0b58428c5dadf5b3ddd5e5e9f26a09
39893dca234d7dada88973f968429413,equirement,223,4.9,2d9faafad051d8e060b7fa18d417495e
82c7c02359cb6abaf145c26ba1e63c75,cactus,84,4.9,52ae47a7d6db2dda5641ab1ccf4f32a6
e1cf90c6ab99c0a00053c846f73a09b9,plant,322,4.8,c0224839afdd3c297d6f330fae4512d7
73fba965669545748a74bc54b2c339e3,plant,146,2.9,ea1fad71af64e3584170c68ea5bd51df
5f4959003ff37f079ecee39a43dcd202,plant,161,4.8,1804f6e25ac9aa953fcbce091288b937
c5b342fcdb1bf27de97ba01e5c5f9243,material,95,1.7,e3a5812d0abc7edc1deb63cd95a181f0
e99eb9805e6d2661318402a6bd1ed256,plant,249,4.9,159895d4e8944de0ca97e409a2bc67cc
